target,prediction,flag,roll_id,row_index
62.06,62.06,input,0,988
62.06,62.06,input,0,989
62.06,62.06,input,0,990
62.06,62.06,input,0,991
62.07,62.07,input,0,992
62.06,62.06,input,0,993
62.05,62.05,input,0,994
62.04,62.04,input,0,995
62.06,62.06,input,0,996
62.07,62.07,input,0,997
62.07,62.07,input,0,998
62.07,62.07,input,0,999
62.06,62.06,input,0,1000
62.05,62.05,input,0,1001
62.05,62.05,input,0,1002
62.05,62.05,input,0,1003
62.06,62.06,input,0,1004
62.06,62.06,input,0,1005
62.05,62.05,input,0,1006
62.06,62.06,input,0,1007
62.08,62.08,input,0,1008
62.08,62.08,input,0,1009
62.07,62.07,input,0,1010
62.08,62.08,input,0,1011
62.07,62.07,input,0,1012
62.06,62.06,input,0,1013
62.08,62.08,input,0,1014
62.08,62.08,input,0,1015
62.07,62.07,input,0,1016
62.07,62.07,input,0,1017
62.09,62.09,input,0,1018
62.1,62.1,input,0,1019
62.11,62.11,input,0,1020
62.1,62.1,input,0,1021
62.09,62.09,input,0,1022
62.1,62.1,input,0,1023
62.11,62.11,input,0,1024
62.1,62.1,input,0,1025
62.1,62.1,input,0,1026
62.1,62.1,input,0,1027
62.09,62.09,input,0,1028
62.09,62.09,input,0,1029
62.09,62.09,input,0,1030
62.09,62.09,input,0,1031
62.11,62.11,input,0,1032
62.1,62.1,input,0,1033
62.09,62.09,input,0,1034
62.09,62.09,input,0,1035
62.09,62.09,input,0,1036
62.1,62.1,input,0,1037
62.1,62.1,input,0,1038
62.1,62.1,input,0,1039
62.1,62.1,input,0,1040
62.1,62.1,input,0,1041
62.08,62.08,input,0,1042
63.62,63.62,input,0,1043
66.14,66.14,input,0,1044
67.21,67.21,input,0,1045
67.71,67.71,input,0,1046
67.95,67.95,input,0,1047
68.07,68.07,input,0,1048
68.08,68.08,input,0,1049
67.95,67.95,input,0,1050
67.78,67.78,input,0,1051
67.59,67.59,input,0,1052
67.39,67.39,input,0,1053
67.17,67.17,input,0,1054
66.97,66.97,input,0,1055
67.77,67.77,input,0,1056
68.15,68.15,input,0,1057
68.24,68.24,input,0,1058
68.2,68.2,input,0,1059
68.11,68.11,input,0,1060
67.96,67.96,input,0,1061
67.77,67.77,input,0,1062
67.57,67.57,input,0,1063
67.74,67.74,input,0,1064
68.45,68.45,input,0,1065
68.73,68.73,input,0,1066
69.05,69.05,input,0,1067
69.22,69.22,input,0,1068
69.27,69.27,input,0,1069
69.23,69.23,input,0,1070
69.13,69.13,input,0,1071
68.99,68.99,input,0,1072
68.81,68.81,input,0,1073
68.61,68.61,input,0,1074
68.39,68.39,input,0,1075
68.17,68.17,input,0,1076
67.93,67.93,input,0,1077
67.67,67.67,input,0,1078
67.39,67.39,input,0,1079
67.12,67.12,input,0,1080
