target,prediction,flag,roll_id,row_index
85.3,65.23489379882812,prediction,33,1575
85.49,65.27615356445312,prediction,33,1576
85.45,65.27294921875,prediction,33,1577
85.39,65.30590057373047,prediction,33,1578
85.34,65.33976745605469,prediction,33,1579
85.27,65.28787231445312,prediction,34,1580
85.15,65.28440856933594,prediction,34,1581
84.96,65.28825378417969,prediction,34,1582
84.73,65.29048156738281,prediction,34,1583
84.49,65.29712677001953,prediction,34,1584
84.27,65.31883239746094,prediction,34,1585
84.03,65.35862731933594,prediction,34,1586
83.79,65.35273742675781,prediction,34,1587
83.58,65.38561248779297,prediction,34,1588
83.38,65.41717529296875,prediction,34,1589
83.18,65.35585021972656,prediction,35,1590
82.92,65.35075378417969,prediction,35,1591
82.61,65.35317993164062,prediction,35,1592
82.3,65.35558319091797,prediction,35,1593
82.01,65.36022186279297,prediction,35,1594
81.74,65.38036346435547,prediction,35,1595
81.42,65.41856384277344,prediction,35,1596
81.1,65.41045379638672,prediction,35,1597
80.77,65.44247436523438,prediction,35,1598
80.45,65.47154235839844,prediction,35,1599
80.13,65.3975601196289,prediction,36,1600
79.81,65.39130401611328,prediction,36,1601
79.49,65.39215087890625,prediction,36,1602
79.19,65.39409637451172,prediction,36,1603
78.9,65.39611053466797,prediction,36,1604
78.61,65.4148941040039,prediction,36,1605
78.37,65.45165252685547,prediction,36,1606
78.14,65.44204711914062,prediction,36,1607
77.92,65.47266387939453,prediction,36,1608
77.77,65.49948120117188,prediction,36,1609
78.02,65.412109375,prediction,37,1610
78.23,65.40525817871094,prediction,37,1611
78.4,65.4046401977539,prediction,37,1612
78.65,65.40565490722656,prediction,37,1613
78.87,65.40489196777344,prediction,37,1614
79.1,65.42271423339844,prediction,37,1615
79.25,65.45836639404297,prediction,37,1616
79.39,65.44807434082031,prediction,37,1617
79.49,65.4770278930664,prediction,37,1618
79.52,65.5020980834961,prediction,37,1619
79.51,65.4026870727539,prediction,38,1620
79.48,65.39579772949219,prediction,38,1621
79.48,65.39398956298828,prediction,38,1622
79.42,65.39383697509766,prediction,38,1623
79.29,65.39059448242188,prediction,38,1624
79.17,65.40788269042969,prediction,38,1625
78.96,65.44285583496094,prediction,38,1626
78.72,65.4326400756836,prediction,38,1627
78.47,65.45995330810547,prediction,38,1628
78.22,65.48396301269531,prediction,38,1629
77.97,65.37531280517578,prediction,39,1630
77.71,65.36880493164062,prediction,39,1631
77.45,65.36621856689453,prediction,39,1632
77.19,65.36487579345703,prediction,39,1633
76.92,65.35977172851562,prediction,39,1634
76.65,65.37696838378906,prediction,39,1635
76.36,65.41169738769531,prediction,39,1636
76.09,65.40213012695312,prediction,39,1637
75.81,65.4280776977539,prediction,39,1638
75.54,65.45171356201172,prediction,39,1639
75.76,65.3374252319336,prediction,40,1640
75.74,65.33158874511719,prediction,40,1641
75.59,65.32865905761719,prediction,40,1642
75.4,65.3263168334961,prediction,40,1643
75.18,65.32010650634766,prediction,40,1644
74.98,65.33755493164062,prediction,40,1645
74.78,65.37242126464844,prediction,40,1646
74.56,65.36387634277344,prediction,40,1647
74.32,65.38890838623047,prediction,40,1648
74.08,65.41278076171875,prediction,40,1649
73.84,65.29660034179688,prediction,41,1650
73.6,65.29156494140625,prediction,41,1651
73.38,65.28870391845703,prediction,41,1652
73.15,65.28565216064453,prediction,41,1653
72.99,65.27913665771484,prediction,41,1654
73.19,65.29708862304688,prediction,41,1655
73.15,65.33238983154297,prediction,41,1656
73.03,65.32499694824219,prediction,41,1657
72.86,65.34961700439453,prediction,41,1658
72.66,65.37417602539062,prediction,41,1659
72.45,65.2594223022461,prediction,42,1660
72.22,65.25514221191406,prediction,42,1661
71.99,65.252685546875,prediction,42,1662
71.75,65.249267578125,prediction,42,1663
71.48,65.2431411743164,prediction,42,1664
71.2,65.26171875,prediction,42,1665
70.92,65.29762268066406,prediction,42,1666
70.63,65.29133605957031,prediction,42,1667
70.31,65.31600189208984,prediction,42,1668
70.0,65.3415298461914,prediction,42,1669
69.69,65.23066711425781,prediction,43,1670
